1680718309335564288,0.01234,0.00828,0.01105,0.77714,-0.62477,0.06646,0.03605,-0.01763,-0.01051,0.04396,
1680718309435081472,0.02206,0.01340,0.01720,0.78242,-0.61760,0.07145,0.03592,0.02888,0.02647,0.01648,
1680718309534599424,0.02828,0.01635,0.01685,0.78596,-0.61247,0.07639,0.03620,0.02608,0.02790,0.00918,
1680718309634116352,0.03087,0.01765,0.01651,0.78984,-0.60703,0.08057,0.03432,0.01331,0.02445,0.00691,
1680718309733634560,0.03047,0.01566,0.01735,0.79457,-0.60128,0.07814,0.03175,-0.01002,0.01331,0.00276,
1680718309833152512,0.03036,0.01442,0.01792,0.80032,-0.59389,0.07569,0.03228,-0.03163,0.00750,0.00096,
1680718309932669440,0.02648,0.01498,0.01756,0.80013,-0.59414,0.07435,0.03534,-0.04993,0.00412,-0.00932,
1680718310032187392,0.02494,0.01020,0.01865,0.80527,-0.58757,0.07023,0.03696,-0.04536,-0.00862,-0.00636,
1680718310131704320,0.02067,0.00709,0.01850,0.81025,-0.58097,0.06662,0.03910,-0.05560,-0.01275,-0.01179,
1680718310231222272,0.01529,0.00475,0.01829,0.81407,-0.57599,0.06073,0.04295,-0.05628,-0.01568,-0.00016,
1680718310330740480,0.01004,0.00238,0.01968,0.81432,-0.57573,0.05567,0.04811,-0.03305,-0.01504,0.02788,
1680718310430257408,0.00900,0.00059,0.02329,0.81439,-0.57520,0.05349,0.05522,-0.00154,-0.00894,0.05328,
1680718310529775360,0.00840,-0.00106,0.02866,0.81588,-0.57362,0.04636,0.05604,0.00864,-0.00788,0.05285,
1680718310629292544,0.00729,-0.00100,0.03339,0.81512,-0.57522,0.04158,0.05447,0.00049,-0.01100,0.06455,
1680718310728810240,0.00523,-0.00046,0.03866,0.81712,-0.57253,0.03922,0.05462,0.00302,0.00371,0.06130,
1680718310828327424,0.00576,-0.00136,0.04389,0.81687,-0.57215,0.04292,0.05935,-0.00383,-0.02612,0.05299,
1680718310927845376,0.00611,-0.00205,0.04952,0.81898,-0.56955,0.03973,0.05749,0.00922,-0.01301,0.04859,
1680718311027363328,0.00707,-0.00235,0.05543,0.81790,-0.57132,0.04185,0.05377,-0.00878,-0.01733,0.05112,
1680718311126880512,0.00809,-0.00366,0.06234,0.81425,-0.57678,0.04114,0.05125,-0.01019,-0.02913,0.06249,
1680718311226398464,0.00909,-0.00643,0.07132,0.81047,-0.58232,0.03911,0.05019,-0.00617,-0.03351,0.08760,
1680718311325915392,0.01072,-0.00863,0.08190,0.80554,-0.58941,0.03623,0.04881,-0.00689,-0.04095,0.09657,
1680718311425433344,0.01254,-0.00871,0.09272,0.80125,-0.59559,0.03220,0.04720,-0.00004,-0.01699,0.10000,
1680718311524950528,0.01473,-0.01022,0.10388,0.80036,-0.59715,0.02992,0.04399,0.01776,-0.00668,0.08495,
1680718311624468224,0.01687,-0.01121,0.11438,0.79656,-0.60221,0.03115,0.04317,0.01368,-0.01043,0.05873,
1680718311723986432,0.01806,-0.01323,0.12369,0.79192,-0.60818,0.03237,0.04393,0.00013,-0.03660,0.03140,
1680718311823503616,0.02042,-0.01661,0.14033,0.78265,-0.61999,0.03456,0.04334,0.01038,-0.07405,0.06227,
1680718311923021312,0.02309,-0.02163,0.15495,0.77719,-0.62667,0.03609,0.04411,0.00130,-0.08971,0.06623,
1680718312022538496,0.02404,-0.02704,0.16882,0.77273,-0.63246,0.03338,0.04204,-0.00699,-0.10620,0.06986,
1680718312122056448,0.02505,-0.03637,0.18108,0.77175,-0.63385,0.03609,0.03649,0.03247,-0.11313,0.06764,
1680718312221574400,0.02765,-0.04778,0.19518,0.76849,-0.63702,0.05096,0.03212,0.03397,-0.14154,0.08671,
1680718312321091328,0.03252,-0.05848,0.21326,0.76738,-0.63763,0.06171,0.02737,0.02305,-0.18796,0.13383,
1680718312420609536,0.03470,-0.07243,0.23389,0.76782,-0.63689,0.06702,0.01839,0.02219,-0.17738,0.20132,
